Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,cogs,Tax 5%,selling price,profit,Date,Time,Payment,Rating
272-65-1806,A,Trichy,Normal,Female,Electronic accessories,60.88,9,547.92,27.396,610.32,35.00,1/15/2019,17:17,Ewallet,4.7
333-73-7901,C,Chennai,Normal,Female,Health and beauty,54.92,8,439.36,21.968,504.33,43.00,3/23/2019,13:24,Ewallet,7.6
777-82-7220,B,karur,Member,Male,Home and lifestyle,30.12,8,240.96,12.048,284.01,31.00,3/3/2019,13:01,Cash,7.7
280-35-5823,B,karur,Member,Female,Home and lifestyle,86.72,1,86.72,4.336,113.06,22.00,1/17/2019,18:45,Ewallet,7.9
554-53-8700,C,Chennai,Member,Male,Home and lifestyle,56.11,2,112.22,5.611,133.83,16.00,2/2/2019,10:11,Cash,6.3
354-25-5821,B,karur,Member,Female,Sports and travel,69.12,6,414.72,20.736,483.46,48.00,8/2/2019,13:03,Cash,5.6
228-96-1411,C,Chennai,Member,Female,Food and beverages,98.7,8,789.6,39.48,878.08,49.00,4/3/2019,20:39,Cash,7.6
617-15-4209,C,Chennai,Member,Male,Health and beauty,15.37,2,30.74,1.537,48.28,16.00,3/16/2019,19:47,Cash,7.2
132-32-9879,B,karur,Member,Female,Electronic accessories,93.96,4,375.84,18.792,434.63,40.00,9/3/2019,18:00,Cash,9.5
370-41-7321,B,karur,Member,Male,Health and beauty,56.69,9,510.21,25.5105,575.72,40.00,2/27/2019,17:24,Credit card,8.4
727-46-3608,B,karur,Member,Female,Food and beverages,20.01,9,180.09,9.0045,221.09,32.00,6/2/2019,15:47,Ewallet,4.1
669-54-1719,B,karur,Member,Male,Electronic accessories,18.93,6,113.58,5.679,160.26,41.00,10/2/2019,12:45,Credit card,8.1
574-22-5561,C,Chennai,Member,Female,Fashion accessories,82.63,10,826.3,41.315,913.62,46.00,3/19/2019,17:08,Ewallet,7.9
326-78-5178,C,Chennai,Member,Male,Food and beverages,91.4,7,639.8,31.99,694.79,23.00,3/2/2019,10:19,Cash,9.5
162-48-8011,A,Trichy,Member,Female,Food and beverages,44.59,5,222.95,11.1475,247.10,13.00,10/2/2019,15:10,Cash,8.5
616-24-2851,B,karur,Member,Female,Fashion accessories,17.87,4,71.48,3.574,85.05,10.00,3/22/2019,14:42,Ewallet,6.5
778-71-5554,C,Chennai,Member,Male,Fashion accessories,15.43,1,15.43,0.7715,57.20,41.00,1/25/2019,15:46,Credit card,6.1
242-55-6721,B,karur,Normal,Male,Home and lifestyle,16.16,2,32.32,1.616,52.94,19.00,7/3/2019,11:49,Ewallet,6.5
399-46-5918,C,Chennai,Normal,Female,Electronic accessories,85.98,8,687.84,34.392,740.23,18.00,2/28/2019,19:01,Cash,8.2
106-35-6779,A,Trichy,Member,Male,Home and lifestyle,44.34,2,88.68,4.434,142.11,49.00,3/27/2019,11:26,Cash,5.8
635-40-6220,A,Trichy,Normal,Male,Health and beauty,89.6,8,716.8,35.84,797.64,45.00,7/2/2019,11:28,Ewallet,6.6
817-48-8732,A,Trichy,Member,Female,Home and lifestyle,72.35,10,723.5,36.175,769.68,10.00,1/20/2019,15:55,Cash,5.4
120-06-4233,C,Chennai,Normal,Male,Electronic accessories,30.61,6,183.66,9.183,240.84,48.00,12/3/2019,20:36,Cash,9.3
285-68-5083,C,Chennai,Member,Female,Sports and travel,24.74,3,74.22,3.711,115.93,38.00,2/15/2019,17:47,Credit card,10
803-83-5989,C,Chennai,Normal,Male,Home and lifestyle,55.73,6,334.38,16.719,375.10,24.00,2/24/2019,10:55,Ewallet,7
347-34-2234,B,karur,Member,Female,Sports and travel,55.07,9,495.63,24.7815,556.41,36.00,3/2/2019,13:40,Ewallet,10
199-75-8169,A,Trichy,Member,Male,Sports and travel,15.81,10,158.1,7.905,183.01,17.00,6/3/2019,12:27,Credit card,8.6
853-23-2453,B,karur,Member,Male,Health and beauty,75.74,4,302.96,15.148,338.11,20.00,2/14/2019,14:35,Cash,7.6
877-22-3308,A,Trichy,Member,Male,Health and beauty,15.87,10,158.7,7.935,194.64,28.00,3/13/2019,16:40,Cash,5.8
838-78-4295,C,Chennai,Normal,Female,Health and beauty,33.47,2,66.94,3.347,105.29,35.00,10/2/2019,15:43,Ewallet,6.7
109-28-2512,B,karur,Member,Female,Fashion accessories,97.61,6,585.66,29.283,629.94,15.00,7/1/2019,15:01,Ewallet,9.9
232-11-3025,A,Trichy,Normal,Male,Sports and travel,78.77,10,787.7,39.385,865.09,38.00,1/24/2019,10:04,Cash,6.4
382-03-4532,A,Trichy,Member,Female,Health and beauty,18.33,1,18.33,0.9165,40.25,21.00,2/2/2019,18:50,Cash,4.3
393-65-2792,C,Chennai,Normal,Male,Food and beverages,89.48,10,894.8,44.74,950.54,11.00,6/1/2019,12:46,Credit card,9.6
796-12-2025,C,Chennai,Normal,Male,Fashion accessories,62.12,10,621.2,31.06,669.26,17.00,11/2/2019,16:19,Cash,5.9
510-95-6347,B,karur,Member,Female,Food and beverages,48.52,3,145.56,7.278,188.84,36.00,5/3/2019,18:17,Ewallet,4
841-35-6630,C,Chennai,Normal,Female,Electronic accessories,75.91,6,455.46,22.773,505.23,27.00,9/3/2019,18:21,Cash,8.7
287-21-9091,A,Trichy,Normal,Male,Home and lifestyle,74.67,9,672.03,33.6015,744.63,39.00,1/22/2019,10:55,Ewallet,9.4
732-94-0499,C,Chennai,Normal,Female,Electronic accessories,41.65,10,416.5,20.825,466.33,29.00,1/13/2019,17:04,Credit card,5.4
263-10-3913,C,Chennai,Member,Male,Fashion accessories,49.04,9,441.36,22.068,490.43,27.00,9/1/2019,14:20,Credit card,8.6
381-20-0914,A,Trichy,Member,Female,Fashion accessories,20.01,9,180.09,9.0045,213.09,24.00,12/1/2019,15:48,Credit card,5.7
829-49-1914,C,Chennai,Member,Female,Food and beverages,78.31,10,783.1,39.155,852.26,30.00,5/3/2019,16:24,Ewallet,6.6
756-01-7507,C,Chennai,Normal,Female,Health and beauty,20.38,5,101.9,5.095,143.00,36.00,1/22/2019,18:56,Cash,6
870-72-4431,C,Chennai,Normal,Female,Health and beauty,99.19,6,595.14,29.757,647.90,23.00,1/21/2019,14:42,Credit card,5.5
847-38-7188,B,karur,Normal,Female,Food and beverages,96.68,3,290.04,14.502,320.54,16.00,1/26/2019,19:56,Ewallet,6.4
480-63-2856,C,Chennai,Normal,Male,Food and beverages,19.25,8,154,7.7,173.70,12.00,1/23/2019,18:37,Ewallet,6.6
787-56-0757,C,Chennai,Member,Female,Food and beverages,80.36,4,321.44,16.072,373.51,36.00,2/23/2019,18:45,Credit card,8.3
360-39-5055,C,Chennai,Member,Male,Sports and travel,48.91,5,244.55,12.2275,292.78,36.00,9/3/2019,10:17,Cash,6.6
730-50-9884,C,Chennai,Normal,Female,Sports and travel,83.06,7,581.42,29.071,640.49,30.00,5/3/2019,14:31,Ewallet,4
362-58-8315,C,Chennai,Normal,Male,Fashion accessories,76.52,5,382.6,19.13,443.73,42.00,3/25/2019,10:23,Cash,9.9
633-44-8566,A,Trichy,Member,Male,Food and beverages,49.38,7,345.66,17.283,393.94,31.00,3/27/2019,20:35,Credit card,7.3
504-35-8843,A,Trichy,Normal,Male,Sports and travel,42.47,1,42.47,2.1235,65.59,21.00,2/1/2019,16:57,Cash,5.7
318-68-5053,B,karur,Normal,Female,Health and beauty,76.99,6,461.94,23.097,522.04,37.00,2/27/2019,17:55,Cash,6.1
565-80-5980,C,Chennai,Member,Female,Home and lifestyle,47.38,4,189.52,9.476,220.00,21.00,1/23/2019,10:25,Cash,7.1
225-32-0908,C,Chennai,Normal,Female,Sports and travel,44.86,10,448.6,22.43,513.03,42.00,1/26/2019,19:54,Ewallet,8.2
873-51-0671,A,Trichy,Member,Female,Sports and travel,21.98,7,153.86,7.693,189.55,28.00,10/1/2019,16:42,Ewallet,5.1
152-08-9985,B,karur,Member,Male,Health and beauty,64.36,9,579.24,28.962,633.20,25.00,12/3/2019,12:09,Credit card,8.6
512-91-0811,C,Chennai,Normal,Male,Health and beauty,89.75,1,89.75,4.4875,104.24,10.00,6/2/2019,20:05,Credit card,6.6
594-34-4444,A,Trichy,Normal,Male,Electronic accessories,97.16,1,97.16,4.858,134.02,32.00,8/3/2019,20:38,Ewallet,7.2
766-85-7061,B,karur,Normal,Male,Health and beauty,87.87,10,878.7,43.935,953.64,31.00,3/29/2019,10:25,Ewallet,5.1
871-39-9221,C,Chennai,Normal,Female,Electronic accessories,12.45,6,74.7,3.735,122.44,44.00,9/2/2019,13:11,Cash,4.1
865-92-6136,A,Trichy,Normal,Male,Food and beverages,52.75,3,158.25,7.9125,184.16,18.00,3/23/2019,10:16,Ewallet,9.3
733-01-9107,B,karur,Normal,Male,Home and lifestyle,82.7,6,496.2,24.81,563.01,42.00,5/3/2019,18:14,Cash,7.4
163-56-7055,C,Chennai,Member,Male,Fashion accessories,48.71,1,48.71,2.4355,67.15,16.00,3/26/2019,19:20,Cash,4.1
189-98-2939,C,Chennai,Normal,Male,Fashion accessories,78.55,9,706.95,35.3475,758.30,16.00,1/3/2019,13:22,Cash,7.2
551-21-3069,C,Chennai,Normal,Female,Electronic accessories,23.07,9,207.63,10.3815,264.01,46.00,1/2/2019,11:27,Cash,4.9
212-62-1842,A,Trichy,Normal,Male,Food and beverages,58.26,6,349.56,17.478,384.04,17.00,3/28/2019,16:44,Cash,9.9
716-39-1409,B,karur,Normal,Male,Health and beauty,30.35,7,212.45,10.6225,236.07,13.00,3/19/2019,18:19,Cash,8
704-48-3927,A,Trichy,Member,Male,Electronic accessories,88.67,10,886.7,44.335,944.04,13.00,12/1/2019,14:50,Ewallet,7.3
628-34-3388,C,Chennai,Normal,Male,Fashion accessories,27.38,6,164.28,8.214,195.49,23.00,5/1/2019,20:54,Credit card,7.9
630-74-5166,A,Trichy,Normal,Male,Sports and travel,62.13,6,372.78,18.639,432.42,41.00,3/22/2019,20:19,Cash,7.4
588-01-7461,C,Chennai,Normal,Female,Food and beverages,33.98,9,305.82,15.291,335.11,14.00,3/24/2019,10:43,Cash,4.2
861-77-0145,C,Chennai,Member,Male,Electronic accessories,81.97,10,819.7,40.985,899.69,39.00,3/3/2019,14:30,Cash,9.2
479-26-8945,B,karur,Member,Female,Sports and travel,16.49,2,32.98,1.649,79.63,45.00,5/2/2019,11:32,Ewallet,4.6
210-67-5886,C,Chennai,Member,Female,Health and beauty,98.21,3,294.63,14.7315,349.36,40.00,5/2/2019,10:41,Credit card,7.8
227-78-1148,B,karur,Normal,Female,Fashion accessories,72.84,7,509.88,25.494,577.37,42.00,2/15/2019,12:44,Cash,8.4
645-44-1170,A,Trichy,Member,Male,Home and lifestyle,58.07,9,522.63,26.1315,596.76,48.00,1/19/2019,20:07,Ewallet,4.3
237-01-6122,C,Chennai,Member,Female,Home and lifestyle,80.79,9,727.11,36.3555,799.47,36.00,1/2/2019,20:31,Credit card,9.5
225-98-1496,C,Chennai,Normal,Female,Fashion accessories,27.02,3,81.06,4.053,107.11,22.00,2/3/2019,13:01,Credit card,7.1
291-32-1427,B,karur,Member,Male,Fashion accessories,21.94,5,109.7,5.485,142.19,27.00,5/3/2019,12:29,Ewallet,5.3
659-65-8956,B,karur,Member,Male,Fashion accessories,51.36,1,51.36,2.568,68.93,15.00,1/16/2019,15:26,Ewallet,5.2
642-32-2990,A,Trichy,Normal,Female,Food and beverages,10.96,10,109.6,5.48,153.08,38.00,2/2/2019,20:48,Ewallet,6
378-24-2715,B,karur,Normal,Male,Home and lifestyle,53.44,2,106.88,5.344,130.22,18.00,1/20/2019,20:38,Ewallet,4.1
638-60-7125,A,Trichy,Normal,Female,Electronic accessories,99.56,8,796.48,39.824,865.30,29.00,2/14/2019,17:03,Credit card,5.2
659-36-1684,C,Chennai,Member,Male,Sports and travel,57.12,7,399.84,19.992,448.83,29.00,12/1/2019,12:02,Credit card,6.5
219-22-9386,B,karur,Member,Male,Sports and travel,99.96,9,899.64,44.982,968.62,24.00,9/3/2019,17:26,Credit card,4.2
336-78-2147,C,Chennai,Member,Male,Home and lifestyle,63.91,8,511.28,25.564,548.84,12.00,3/13/2019,19:52,Credit card,4.6
268-27-6179,B,karur,Member,Female,Fashion accessories,56.47,8,451.76,22.588,499.35,25.00,9/3/2019,14:57,Ewallet,7.3
668-90-8900,A,Trichy,Normal,Female,Home and lifestyle,93.69,7,655.83,32.7915,729.62,41.00,10/3/2019,18:44,Credit card,4.5
870-54-3162,A,Trichy,Normal,Female,Sports and travel,32.25,5,161.25,8.0625,185.31,16.00,1/27/2019,13:26,Cash,9
189-08-9157,C,Chennai,Normal,Female,Fashion accessories,31.73,9,285.57,14.2785,309.85,10.00,8/1/2019,16:17,Credit card,5.9
663-86-9076,C,Chennai,Member,Female,Food and beverages,68.54,8,548.32,27.416,624.74,49.00,8/1/2019,15:57,Ewallet,8.5
549-84-7482,B,karur,Normal,Female,Sports and travel,90.28,9,812.52,40.626,890.15,37.00,8/2/2019,11:15,Ewallet,7.2
191-10-6171,B,karur,Normal,Female,Fashion accessories,39.62,7,277.34,13.867,333.21,42.00,1/25/2019,13:18,Cash,7.5
802-70-5316,A,Trichy,Member,Female,Sports and travel,92.13,6,552.78,27.639,598.42,18.00,6/3/2019,20:34,Cash,8.3
695-51-0018,B,karur,Normal,Female,Sports and travel,34.84,4,139.36,6.968,180.33,34.00,10/2/2019,18:36,Cash,7.4
590-83-4591,B,karur,Member,Male,Electronic accessories,87.45,6,524.7,26.235,566.94,16.00,2/17/2019,14:40,Credit card,8.8
483-71-1164,C,Chennai,Normal,Female,Health and beauty,81.3,6,487.8,24.39,561.19,49.00,8/3/2019,16:43,Ewallet,5.3
597-78-7908,C,Chennai,Normal,Male,Fashion accessories,90.22,3,270.66,13.533,310.19,26.00,2/18/2019,19:39,Cash,6.2
700-81-1757,A,Trichy,Normal,Female,Electronic accessories,26.31,5,131.55,6.5775,165.13,27.00,1/18/2019,20:59,Credit card,8.8
354-39-5160,A,Trichy,Member,Female,Home and lifestyle,34.42,6,206.52,10.326,252.85,36.00,2/18/2019,15:39,Cash,9.8
241-72-9525,B,karur,Normal,Male,Sports and travel,51.91,10,519.1,25.955,581.06,36.00,2/16/2019,12:21,Cash,8.2
575-30-8091,A,Trichy,Normal,Male,Sports and travel,72.5,8,580,29,620.00,11.00,3/16/2019,19:25,Ewallet,9.2
731-81-9469,C,Chennai,Member,Female,Sports and travel,89.8,10,898,44.9,955.90,13.00,1/23/2019,13:00,Credit card,5.4
280-17-4359,C,Chennai,Member,Male,Health and beauty,90.5,10,905,45.25,972.25,22.00,1/25/2019,13:48,Cash,8.1
338-65-2210,C,Chennai,Member,Female,Health and beauty,68.6,10,686,34.3,737.30,17.00,5/2/2019,19:57,Cash,9.1
488-25-4221,C,Chennai,Member,Female,Food and beverages,30.41,1,30.41,1.5205,72.93,41.00,2/22/2019,10:36,Credit card,8.4
239-10-7476,A,Trichy,Normal,Female,Home and lifestyle,77.95,6,467.7,23.385,534.09,43.00,1/21/2019,16:37,Ewallet,8
458-41-1477,C,Chennai,Normal,Female,Health and beauty,46.26,6,277.56,13.878,332.44,41.00,8/3/2019,17:11,Credit card,9.5
685-64-1609,A,Trichy,Member,Female,Fashion accessories,30.14,10,301.4,15.07,330.47,14.00,10/2/2019,12:28,Ewallet,9.2
568-90-5112,C,Chennai,Normal,Male,Health and beauty,66.14,4,264.56,13.228,317.79,40.00,3/19/2019,12:46,Credit card,5.6
262-47-2794,B,karur,Member,Male,Home and lifestyle,71.86,8,574.88,28.744,629.62,26.00,6/3/2019,15:07,Credit card,6.2
238-49-0436,A,Trichy,Normal,Male,Health and beauty,32.46,8,259.68,12.984,293.66,21.00,3/27/2019,13:48,Credit card,4.9
608-96-3517,B,karur,Member,Female,Fashion accessories,91.54,4,366.16,18.308,419.47,35.00,3/23/2019,19:20,Credit card,4.8
584-86-7256,C,Chennai,Member,Male,Sports and travel,34.56,7,241.92,12.096,273.02,19.00,11/3/2019,16:07,Credit card,7.3
746-94-0204,A,Trichy,Normal,Male,Fashion accessories,83.24,9,749.16,37.458,805.62,19.00,1/29/2019,11:56,Credit card,7.4
214-17-6927,C,Chennai,Normal,Female,Food and beverages,16.48,6,98.88,4.944,128.82,25.00,7/2/2019,18:23,Ewallet,9.9
400-89-4171,C,Chennai,Normal,Female,Sports and travel,80.97,8,647.76,32.388,700.15,20.00,1/28/2019,13:05,Cash,9.3
782-95-9291,A,Trichy,Member,Male,Food and beverages,92.29,5,461.45,23.0725,509.52,25.00,2/20/2019,15:55,Credit card,9
279-74-2924,B,karur,Member,Male,Electronic accessories,72.17,1,72.17,3.6085,121.78,46.00,4/1/2019,19:40,Cash,6.1
307-85-2293,B,karur,Normal,Male,Home and lifestyle,50.28,5,251.4,12.57,294.97,31.00,7/3/2019,13:58,Ewallet,9.7
743-04-1105,B,karur,Member,Male,Health and beauty,97.22,9,874.98,43.749,947.73,29.00,3/30/2019,14:43,Ewallet,6
423-57-2993,B,karur,Normal,Male,Sports and travel,93.39,6,560.34,28.017,626.36,38.00,3/27/2019,19:18,Ewallet,10
894-41-5205,C,Chennai,Normal,Female,Food and beverages,43.18,8,345.44,17.272,394.71,32.00,1/19/2019,19:39,Credit card,8.3
275-28-0149,A,Trichy,Normal,Male,Sports and travel,63.69,1,63.69,3.1845,109.87,43.00,2/25/2019,16:21,Cash,6
101-17-6199,A,Trichy,Normal,Male,Food and beverages,45.79,7,320.53,16.0265,358.56,22.00,3/13/2019,19:44,Credit card,7
423-80-0988,C,Chennai,Normal,Male,Sports and travel,76.4,2,152.8,7.64,208.44,48.00,1/30/2019,19:42,Ewallet,6.5
548-46-9322,B,karur,Normal,Male,Food and beverages,39.9,10,399,19.95,456.95,38.00,2/20/2019,15:24,Credit card,5.9
505-02-0892,B,karur,Member,Male,Health and beauty,42.57,8,340.56,17.028,394.59,37.00,2/25/2019,14:12,Ewallet,5.6
234-65-2137,C,Chennai,Normal,Male,Home and lifestyle,95.58,10,955.8,47.79,1028.59,25.00,1/16/2019,13:32,Cash,4.8
687-47-8271,A,Trichy,Normal,Male,Fashion accessories,98.98,10,989.8,49.49,1064.29,25.00,8/2/2019,16:20,Credit card,8.7
796-32-9050,A,Trichy,Normal,Male,Food and beverages,51.28,6,307.68,15.384,344.06,21.00,1/19/2019,16:31,Cash,6.5
105-31-1824,A,Trichy,Member,Male,Sports and travel,69.52,7,486.64,24.332,523.97,13.00,1/2/2019,15:10,Credit card,8.5
249-42-3782,A,Trichy,Normal,Male,Health and beauty,70.01,5,350.05,17.5025,398.55,31.00,3/1/2019,11:36,Ewallet,5.5
316-55-4634,B,karur,Member,Male,Food and beverages,80.05,5,400.25,20.0125,459.26,39.00,1/26/2019,12:45,Credit card,9.4
733-33-4967,C,Chennai,Normal,Male,Electronic accessories,20.85,8,166.8,8.34,196.14,21.00,3/3/2019,19:17,Cash,6.3
608-27-6295,B,karur,Member,Male,Electronic accessories,52.89,6,317.34,15.867,345.21,12.00,1/19/2019,17:34,Credit card,9.8
414-12-7047,B,karur,Normal,Male,Food and beverages,19.79,8,158.32,7.916,179.24,13.00,1/18/2019,12:04,Ewallet,8.7
827-26-2100,A,Trichy,Member,Male,Home and lifestyle,33.84,9,304.56,15.228,348.79,29.00,3/21/2019,16:21,Ewallet,8.8
175-54-2529,A,Trichy,Member,Male,Food and beverages,22.17,8,177.36,8.868,204.23,18.00,3/3/2019,17:01,Credit card,9.6
139-52-2867,C,Chennai,Normal,Female,Fashion accessories,22.51,7,157.57,7.8785,206.45,41.00,2/13/2019,10:50,Credit card,4.8
407-63-8975,A,Trichy,Normal,Male,Food and beverages,73.88,6,443.28,22.164,477.44,12.00,3/23/2019,19:16,Ewallet,4.4
342-65-4817,C,Chennai,Member,Male,Health and beauty,86.8,3,260.4,13.02,321.42,48.00,1/28/2019,16:47,Ewallet,9.9
130-98-8941,C,Chennai,Normal,Male,Fashion accessories,64.26,7,449.82,22.491,510.31,38.00,9/2/2019,10:00,Cash,5.7
434-83-9547,C,Chennai,Member,Male,Food and beverages,38.47,8,307.76,15.388,364.15,41.00,1/23/2019,11:51,Cash,7.7
851-28-6367,A,Trichy,Member,Male,Sports and travel,15.5,10,155,7.75,186.75,24.00,3/23/2019,10:55,Ewallet,8
824-88-3614,C,Chennai,Normal,Male,Health and beauty,34.31,8,274.48,13.724,326.20,38.00,1/25/2019,15:00,Ewallet,5.7
586-25-0848,A,Trichy,Normal,Female,Sports and travel,12.34,7,86.38,4.319,136.70,46.00,4/3/2019,11:19,Credit card,6.7
895-66-0685,B,karur,Member,Male,Food and beverages,18.08,3,54.24,2.712,79.95,23.00,5/3/2019,19:46,Ewallet,8
305-14-0245,B,karur,Member,Female,Home and lifestyle,94.49,8,755.92,37.796,841.72,48.00,3/3/2019,19:00,Ewallet,7.5
732-04-5373,B,karur,Member,Male,Home and lifestyle,46.47,4,185.88,9.294,222.17,27.00,8/2/2019,10:53,Cash,7
400-60-7251,A,Trichy,Normal,Male,Home and lifestyle,74.07,1,74.07,3.7035,92.77,15.00,10/2/2019,12:50,Ewallet,9.9
593-65-1552,C,Chennai,Normal,Female,Home and lifestyle,69.81,4,279.24,13.962,310.20,17.00,1/28/2019,20:50,Credit card,5.9
284-34-9626,B,karur,Normal,Female,Home and lifestyle,77.04,3,231.12,11.556,261.68,19.00,11/2/2019,10:39,Credit card,7.2
437-58-8131,B,karur,Normal,Female,Fashion accessories,73.52,2,147.04,7.352,189.39,35.00,1/15/2019,13:41,Ewallet,4.6
286-43-6208,C,Chennai,Normal,Female,Food and beverages,87.8,9,790.2,39.51,841.71,12.00,3/16/2019,19:08,Cash,9.2
641-43-2399,B,karur,Normal,Male,Home and lifestyle,25.55,4,102.2,5.11,134.31,27.00,1/26/2019,20:23,Ewallet,5.7
831-07-6050,A,Trichy,Normal,Male,Electronic accessories,32.71,5,163.55,8.1775,184.73,13.00,3/19/2019,11:30,Credit card,9.9
556-86-3144,C,Chennai,Member,Female,Fashion accessories,74.29,1,74.29,3.7145,92.00,14.00,1/13/2019,19:30,Cash,5
848-24-9445,C,Chennai,Member,Male,Health and beauty,43.7,2,87.4,4.37,139.77,48.00,3/26/2019,18:03,Cash,4.9
856-22-8149,A,Trichy,Normal,Female,Home and lifestyle,25.29,1,25.29,1.2645,56.55,30.00,3/23/2019,10:13,Ewallet,6.1
699-01-4164,C,Chennai,Normal,Male,Health and beauty,41.5,4,166,8.3,213.30,39.00,12/3/2019,19:58,Credit card,8.2
