coffee_name,total_score,roaster_location,coffee_origin,roast_level,est._price,agtron_ground,agtron_roast,price_per_ounce,origin_country
Hambela Dabaye Ethiopia,95.0,"Madison, Wisconsin","Guji growing region, south-central Ethiopia",Light,$24.00/8 ounces,65.0,87.0,24.0,Ethiopia
Brazil Vinhal Grape Starfruit,94.0,"Peoria, Illinois","Cerrado Mineiro, Minas Gerais, Brazil",Medium Light,$21.00/12 ounces,59.0,77.0,21.0,Brazil
Duwancho Natural Ethiopia,94.0,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$28.00/12 ounces,61.0,82.0,28.0,Ethiopia
Colombia Finca Santa Barbara Gesha Anaerobic Honey,95.0,"Floyd, Virginia","Algeciras, Huila Department, Colombia",Light,$32.00/12 ounces,63.0,87.0,32.0,Colombia
Colombia Faver Emir Ninco Pink Bourbon,94.0,"Taipei, Taiwan","Santa Maria, Huila Department, Colombia",Light,NT $559/8 ounces,61.0,81.0,559.0,Colombia
Ethiopia Yirgacheffe Earl Grey Peach,94.0,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,NT $329/8 ounces,65.0,87.0,329.0,Ethiopia
Colombia Cauca Lusitania Geisha Washed,94.0,"Taipei, Taiwan","Caicedonia, Cauca Department, Colombia",Light,NT $470/100 grams,66.0,88.0,16.57848324514991,Colombia
Kenya Kirinyaga Karamundi Washed AB,95.0,"Taichung, Taiwan","Kirinyaga District, south-central Kenya",Light,NT $480/8 ounces,66.0,86.0,480.0,Kenya
Kaʻū Morning Glory,97.0,"Hilo, Hawai’i Island, Hawai’i","Kaʻū growing region, Hawai’i Island, Hawai’i",Light,$19.00/4 ounces,62.0,84.0,19.0,
Kaʻū Yellow Bourbon,95.0,"Hilo, Hawai’i Island, Hawai’i","Kaʻū growing region, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,60.0,80.0,44.0,
Colombia San Adolfo Huila,95.0,"San Diego, California","Huila Department, Colombia",Light,$40.00/8 ounces,65.0,87.0,40.0,Colombia
Rwanda Kungahara Carbonic Maceration,95.0,"Floyd, Virginia","Rustiro, Rwanda",Light,$28.00/12 ounces,64.0,86.0,28.0,Rwanda
Ecuador La Papaya Pacamara,95.0,"Fort Wayne, Indiana","Saraguro, Loja, Ecuador",Light,$29.00/8 ounces,64.0,86.0,29.0,Ecuador
Peru Churupampa Pacamara,94.0,"Fort Wayne, Indiana","Jaén, Cajamarca, Peru",Medium Light,$22.00/12 ounces,59.0,80.0,22.0,Peru
Ethiopia Ayla Sidamo,95.0,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Light,$20.00/ 12 ounces,62.0,84.0,20.0,Ethiopia
Ethiopia Mullugeta Muntasha,94.0,"Fort Wayne, Indiana","Bursa Village, Arbegona, Sidama growing region, southern Ethiopia",Medium Light,$23.00/12 ounces,61.0,79.0,23.0,Ethiopia
Ka’u Giant Maragogipe,94.0,"Hilo, Hawai'i","Ka’u growing region, Hawai’i Island, Hawai’i",Medium Light,$42.00/10 ounces,52.0,73.0,42.0,
Ka’u Red Bourbon,95.0,"Hilo, Hawai'i","Ka’u growing region, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,60.0,78.0,44.0,
Kona Bloom,94.0,"Hilo, Hawai'i","Kona District, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,57.0,78.0,44.0,
Guatemala Retiro del Quisaya Washed Process,94.0,"Durango, Colorado","San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium Light,$19.95/12 ounces,57.0,79.0,19.95,Guatemala
Ethiopian Single Origin,94.0,"Norfolk, Virginia",Ethiopia,Medium Light,$16.99/12 ounces,52.0,74.0,16.99,Ethiopia
Colombia Finca Al Paraiso Y–05 Lychee,95.0,"Glendale, California","Piendamó, Cauca Department, Colombia",Medium,$30.50/12 ounces,52.0,64.0,30.5,Colombia
Colombia Las Perlitas Anaerobic Honey,94.0,"Santa Fe, New Mexico","Medellin, Colombia",Medium Light,$25.00/227 grams,59.0,81.0,0.8818342151675485,Colombia
Panama Altieri Luci Geisha Natural Cold Dry Ferment,94.0,"Los Angeles, California","Boquete growing region, western Panama",Medium Light,$59.95/170 grams,58.0,81.0,2.1146384479717812,Panama
Costa Rica La Minita,94.0,"Tulsa, Oklahoma","Los Santos, Tarrazú, Costa Rica",Medium Light,$22.00/12 ounces,56.0,82.0,22.0,Rica
Ethiopia Guji Grape GildVine Natural G1,94.0,"Tainan, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,NT $500/227 grams,67.0,88.0,17.636684303350968,Ethiopia
Kenya Baragwi Guama AA Washed,95.0,"Baronett, Wisconsin","Guama Village, Kirinyaga County, Kenya",Light,$21.00/12 ounces,61.0,83.0,21.0,Kenya
Potosi Pink Bourbon Natural Colombia,96.0,"Madison, Wisconsin","Trujillo, Valle Del Cauca, Cauca Department, Colombia",Light,$29.00/8 ounces,64.0,86.0,29.0,Colombia
Wilton Benitez Sudan Rume Colombia,95.0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,$25.00/8 ounces,62.0,82.0,25.0,Colombia
Kangocho Kenya,95.0,"Madison, Wisconsin","Nyeri County, Kenya",Medium Light,$25.00/12 ounces,59.0,81.0,25.0,Kenya
La Esperanza Mandela,95.0,"Madison, Wisconsin","Trujillo, Valle Del Cauca, Cauca Department, Colombia",Light,$27.00/8 ounces,62.0,80.0,27.0,Colombia
Mexico Alva Flores,94.0,"Fort Wayne, Indiana","Santa Cruz, Ozolotepec, Oaxaca, Mexico",Medium Light,$18.00/12 ounces,54.0,72.0,18.0,Mexico
Ethiopia Natural Sidama Blue Donkey Lot 2,96.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $350/8 ounces,62.0,84.0,350.0,Ethiopia
Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural,95.0,"Floyd, Virginia","Sabanilla de Alajuela growing region, Costa Rica",Light,$24.00/8 ounces,62.0,84.0,24.0,Rica
Guatemala Washed Finca El General Gesha,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Medium Light,NT $420/4 ounces,58.0,77.0,420.0,Guatemala
Guatemala Finca El General Bourbon Honey Espresso,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Medium Light,NT $420/4 ounces,56.0,76.0,420.0,Guatemala
True Love Espresso Blend,94.0,"Chia-Yi, Taiwan",Ethiopia; Guatemala,Medium Light,NT $260/8 ounces,57.0,77.0,260.0,Guatemala
Colombia Sebastian Ramirez Washed Pink Bourbon,97.0,"McHenry, Illinois","Quindio Department, Colombia",Light,$30.00/12 ounces,62.0,84.0,30.0,Colombia
Colombia Manos Juntas Anaerobic Natural,94.0,"Peoria, Illinois","Cauca Department, Colombia",Light,$18.00/12 ounces,63.0,85.0,18.0,Colombia
Ecuador La Papaya Geisha Natural,96.0,"Fort Wayne, Indiana","Saraguro, Loja, Ecuador",Medium Light,$38.00/8 ounces,61.0,79.0,38.0,Ecuador
Yemen Al Obrah,95.0,"Fort Wayne, Indiana","Al Obrah, Hayma Dakhaliya, Sana'a, Yemen",Light,$42.00/8 ounces,62.0,86.0,42.0,Yemen
Kenya Embu,95.0,"Taichung, Taiwan","Embu County, Kenya",Light,NT $1200/227 grams,62.0,80.0,42.32804232804233,Kenya
Yemen Ismaili,94.0,"Taichung, Taiwan","Bani Ismail District, Sana'a, Yemen",Medium Light,NT $1200/227 grams,57.0,81.0,42.32804232804233,Yemen
Guatemala Acatenango Geisha,94.0,"Tiachung, Taiwan","Acatenango growing region, Guatemala",Medium Light,NT $1200/227 grams,59.0,79.0,42.32804232804233,Guatemala
Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural,94.0,"Kaohsiung, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,NT $300/100 grams,64.0,88.0,10.582010582010582,Ethiopia
Wilton Benitez Colombia Yellow Bourbon,96.0,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,$22.00/8 ounces,63.0,88.0,22.0,Colombia
Kona Tropical Punch Washed,95.0,"Hilo, Hawai’i Island, Hawai’i","Kona growing region, Hawai’i Island, Hawai'i",Light,$50.00/4 ounces,68.0,84.0,50.0,
Granate,94.0,"Satipo Province, Peru","Llayla District, Satipo Province, Peru",Medium Light,$13.50/250 grams,57.0,79.0,0.47619047619047616,Peru
Kenya Kirinyaga,95.0,"Floyd, Virginia","Kirinyaga District, south-central Kenya",Light,$25.00/12 ounces,60.0,82.0,25.0,Kenya
Costa Rica San Diego,94.0,"Fort Wayne, Indiana","Tarrazu, Costa Rica",Medium Light,$22.00/12 ounces,57.0,77.0,22.0,Rica
Costa Rica La Candelilla Geisha,94.0,"Floyd, Virginia","Tarrazu, Costa Rica",Light,$35.00/12 ounces,62.0,84.0,35.0,Rica
Ethiopia Agaro Duromina,94.0,"San Diego, California","Agaro Duromina, Jimma Zone, Oromia State, Ethiopia",Medium Light,$22.00/12 ounces,59.0,79.0,22.0,Ethiopia
Panama Renaissance Series Flora Geisha Washed,94.0,"Taipei, Taiwan","Boquete growing region, western Panama",Light,NT $800/227 grams,68.0,94.0,28.21869488536155,Panama
Colombia San Martin Bourbon Aji Star Fruit Peach Honey,95.0,"Yilan, Taiwan","Huila Department, Colombia",Light,NT $650/200 grams,64.0,88.0,22.92768959435626,Colombia
Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,94.0,"Yilan, Taiwan","Alishan, Taiwan",Light,"NT $2,700/100 grams",62.0,80.0,,Taiwan
Las Margaritas Colombia Sudan Rume Natural,95.0,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,$25.00/8 ounces,62.0,86.0,25.0,Colombia
Yabitu Koba Ethiopia,95.0,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,$23.00/12 ounces,58.0,78.0,23.0,Ethiopia
Pantan Musara Sumatra,94.0,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium Light,$23.00/12 ounces,57.0,80.0,23.0,Indonesia
Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,94.0,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,NT $339/8 ounces,65.0,93.0,339.0,Ethiopia
Guatemala El Soccoro Maracaturra Washed,94.0,"Baronett, Wisconsin","Palencia, Guatemala Department, Guatemala",Medium Light,$20.00/12 ounces,60.0,78.0,20.0,Guatemala
Ethiopia Sidama Bensa Alo Single Variety 74158 Natural,94.0,"New Taipei City, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $840/113 grams,66.0,88.0,29.62962962962963,Ethiopia
El Salvador Loma La Gloria Unicorn Natural,95.0,"Reno, Nevada","El Bálsamo, Quetzaltepec growing region, El Salvador",Light,$29.00/10 ounces,64.0,88.0,29.0,Salvador
Costa Rica Las Lajas SL-28 Natural,94.0,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Light,$30.00/12 ounces,58.0,84.0,30.0,Rica
Ethiopia Faysel Abdosh,94.0,"Fort Wayne, Indiana","Chericho, Sidamo growing region, Ethiopia",Light,$20.00/12 ounces,64.0,88.0,20.0,Ethiopia
Kenya Kii,94.0,"San Diego, California","Kirinyaga County, Kenya",Medium Light,$26.00/250 grams,58.0,82.0,0.9171075837742504,Kenya
Ethiopia Guji Bishala G1 Red Honey,94.0,"Taichung, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium Light,NT $460/8 ounces,58.0,80.0,460.0,Ethiopia
Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,94.0,"Taichung, Taiwan","Bensa district, Sidama Zone, southern Ethiopia",Light,NT $720/8 ounces,66.0,89.0,720.0,Ethiopia
Kenya Nyeri Hill AB,96.0,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Medium Light,$23.50/12 ounces,58.0,82.0,23.5,Kenya
Ethiopia Sidama  Bombe Natural,94.0,"Taitung, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $350/200 grams,61.0,85.0,12.345679012345679,Ethiopia
Ethiopia Kayon Mountain,95.0,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,$24.00/12 ounces,64.0,88.0,24.0,Ethiopia
Colombia Red Sunset,94.0,"Lexington, Virginia","Santa Barbara, Antioquia Department, Colombia",Light,$27.00/12 ounces,60.0,84.0,27.0,Colombia
Ethiopia Gesha Village Lot 108,94.0,"Jersey City, New Jersey","Bench-Maji Zone, southern Ethiopia",Light,$30.00/50 grams,66.0,89.0,1.0582010582010581,Ethiopia
Panama Geisha Vuelta DRD Natural Lot GN-01,97.0,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,$400.00/20 grams,64.0,88.0,14.109347442680775,Panama
Panama Kaizen Lot GW-01,96.0,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,$400.00/20 grams,65.0,90.0,14.109347442680775,Panama
Kona Geisha Champagne Natural,95.0,"Hilo, Hawai’i Island, Hawai’i","Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i",Light,$200.00/4 ounces,64.0,88.0,200.0,
Ethiopia Nano Genji Lot #8,94.0,"Manlius, New York","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,$22.00/12 ounces,64.0,84.0,22.0,Ethiopia
Colombia Hacienda La Pradera Mokka,94.0,"Manlius, New York","Santander Department, Colombia",Light,$42.00/12 ounces,64.0,88.0,42.0,Colombia
La Piragua Pink Bourbon Colombia,94.0,"Madison, Wisconsin","Palestina, Huila Department, Colombia",Light,$22.00/12 ounces,62.0,84.0,22.0,Colombia
Kenya Baragwi Guama,94.0,"Fort Wayne, Indiana","Guama Village, Kirinyaga County, Kenya",Medium Light,$22.00/12 ounces,60.0,78.0,22.0,Kenya
Ethiopia Washed Uraga More Floral Kurume Espresso,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $270/8 ounces,58.0,79.0,270.0,Ethiopia
Ethiopia Natural Sidama ALO Village FL,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $480/4 ounces,62.0,84.0,480.0,Ethiopia
Ethiopia Washed Sidama Bura Karamo 74158,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $320/8 ounces,64.0,84.0,320.0,Ethiopia
Ethiopia Natural Guji Hambella Wamena Buku G1,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $320/8 ounces,64.0,88.0,320.0,Ethiopia
Guatemala Naranjas Nadando,95.0,"Topeka, Kansas","Huehuetenango, Guatemala",Light,$22.00/10 ounces,62.0,84.0,22.0,Guatemala
Songstress Geisha,95.0,"Taipei, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,NT $370/8 ounces,64.0,86.0,370.0,Ethiopia
Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey,95.0,"Baronett, Wisconsin","Bench-Maji Zone, southern Ethiopia",Light,$40.00/6 ounces,62.0,84.0,40.0,Ethiopia
Panama Bambito Estate Geisha,95.0,"San Diego, California","Volcan Baru, Boquete growing region, Panama",Light,$38.75/4 ounces,64.0,88.0,38.75,Panama
Colombia Efren Echeverry,94.0,"Fort Wayne, Indiana","Pitalito, Huila Department, Colombia",Light,$25.00/12 ounces,62.0,84.0,25.0,Colombia
Pueo Blend,94.0,"Hilo, Hawai'i",Guatemala and other undisclosed origins,Medium Light,$20.00/10 ounces,50.0,77.0,20.0,
Wai Meli Morning,94.0,"Mountain View, Hawai'i","Kona and Ka’u, Hawai’i; other undisclosed origins",Medium Light,$30.00/10 ounces,54.0,72.0,30.0,
Ayla Bombe Natural,94.0,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$22.00/12 ounces,63.0,87.0,22.0,Ethiopia
Wilton Benitez Striped Bourbon Colombia,94.0,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,$25.00/8 ounces,62.0,84.0,25.0,Colombia
Buena Vista Pink Bourbon Colombia,94.0,"Madison, Wisconsin","La Muralla, Huila Department, Colombia",Medium Light,$22.00/8 ounces,59.0,77.0,22.0,Colombia
Yunlin Washed Geisha,96.0,"Yunlin, Taiwan","Yunlin County, Taiwan",Light,NT $800/120 grams,64.0,90.0,28.21869488536155,Taiwan
Ethiopia Banko Washed,96.0,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,$24.00/12 ounces,62.0,84.0,24.0,Ethiopia
Colombia Villa Betulia CM Sidra,96.0,"Denver, Colorado","Acevedo, Huila Department, Colombia",Light,$46.00/8 ounces,60.0,84.0,46.0,Colombia
Ethiopia Anaerobic Worka Sakaro,95.0,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,$24.00/12 ounces,66.0,92.0,24.0,Ethiopia
Costa Rica Hacienda Sonora Natural Milenio,94.0,"Denver, Colorado","Alajuela, Central Valley, Costa Rica",Light,$19.00/8 ounces,62.0,84.0,19.0,Rica
Costa Rica Alma Negra Natural,94.0,"Floyd, Virginia","Alajuela, Central Valley, Costa Rica",Light,$25.00/12 ounces,58.0,88.0,25.0,Rica
El Salvador Finca Santa Sofia Natural Kenya,94.0,"Denver, Colorado","Santa Ana, El Salvador",Light,$22.00/8 ounces,68.0,94.0,22.0,Salvador
Colombia Aponte Honey,94.0,"Floyd, Virginia","Aponte, Nariño Department, Colombia",Light,$23.00/12 ounces,64.0,88.0,23.0,Colombia
Finca Huixoc Geisha,94.0,"Antigua Guatemala, Guatemala","La Democracia, Huehuetenango Department, Guatemala",Light,$24.00/12 ounces,60.0,82.0,24.0,Guatemala
Costa Rica Rivense Finca El Mango Honey Process,94.0,"Thermopolis, Wyoming","Chirripo, Brunca growing region, Costa Rica",Light,$16.00/12 ounces,62.0,84.0,16.0,Rica
El Salvador Unicorn,94.0,"Truckee, California","El Bálsamo Quetzaltepec, El Salvador",Medium Light,$24.00/8 ounces,58.0,80.0,24.0,Salvador
Kenya Kiamwangi Factory AA TOP,94.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $389/8 ounces,60.0,80.0,389.0,Kenya
Ethiopia Sidama Bensa Hamasho Washed TOH#2,94.0,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $349/8 ounces,64.0,86.0,349.0,Ethiopia
Costa Rica Red Java Honey Finca Los Pinitos,95.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$29.00//12 ounces,60.0,88.0,,Rica
Costa Rica Finca El Cañal Double Diamond,94.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$28.00/12 ounces,62.0,86.0,28.0,Rica
Honduras Roger Dominguez,94.0,"Fort Wayne, Indiana","La Paz, Marcala growing region, Honduras",Light,$20.00/8 ounces,66.0,88.0,20.0,Honduras
Ngurueri Kenya,94.0,"Madison, Wisconsin","Embu County, Kenya",Light,$22.00/12 ounces,62.0,80.0,22.0,Kenya
Cruz Loma Ecuador,94.0,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Light,$22.00/8 ounces,60.0,82.0,22.0,Ecuador
Colombia Monteblanco Nectar Citrullus Secret Stash,94.0,"Sacramento, Calfornia","Peñas Blancas Mountains, Acevedo, Colombia",Medium Light,$20.00/8 ounces,58.0,82.0,20.0,Colombia
Costa Rica La Laguna Lot Secret Stash,94.0,"Sacramento, California","Tarrazu, Costa Rica",Light,$20.00/8 ounces,64.0,86.0,20.0,Rica
Ballista Espresso,94.0,"Lee, Massachusetts","Ethiopia, Brazil",Medium Light,$18.45/12 ounces,56.0,74.0,18.45,Brazil
Ethiopia Natural Lion 88,94.0,"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,NT $500/8 ounces,66.0,90.0,500.0,Ethiopia
Panama Lamastus Family Elida Estate Loma Geisha Washed,97.0,"New Taipei City, Taiwan","Boquete growing region, western Panama",Light,"NT $1,695/4 ounces",64.0,88.0,,Panama
Colombia El Paraiso Geisha Anti-Maceration,95.0,"Osaka, Japan","Piendamo, Cauca Department, Colombia",Light,$29.00/50 grams,70.0,94.0,1.0229276895943562,Colombia
Ethiopia Alo Chilaka Natural,94.0,"Viroqua, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$22.00/12 ounces,66.0,88.0,22.0,Ethiopia
Panama Bambito Gesha,94.0,"Olympia, Washington","Bambito Mountains, Chiriqui, Panama",Light,$55.00/8 ounces,62.0,84.0,55.0,Panama
Panama Geisha Vuelta DRD Natural,97.0,"Hilo, Hawai’i","Boquete growing region, western Panama",Light,$88.00/4 ounces,66.0,88.0,88.0,Panama
Kona S12 Kaffa Washed,96.0,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,$100.00/4 ounces,67.0,94.0,100.0,Island
Kona Geisha Rosé Washed,96.0,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,$100.00/4 ounces,64.0,88.0,100.0,Island
Colombia Cafe La Granja Pink Bourbon,96.0,"Jersey City, New Jersey","Caicedonia, Valle del Cauca Department, Colombia",Light,$35.00/125 grams,62.0,88.0,1.2345679012345678,Colombia
Colombia Cafe La Granja Sudan Rume Natural,95.0,"Jersey City, New Jersey","Caicedonia, Valle del Cauca Department, Colombia",Light,$35.00/125 grams,66.0,92.0,1.2345679012345678,Colombia
Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,97.0,"Taipei, Taiwan","Boquete growing region, western Panama",Light,$700/4 ounces,64.0,88.0,700.0,Panama
Kenya AA Kangiri New Irati,95.0,"Barronett, Wisconsin","Kigumo growing region, Muranga County, Kenya",Light,$19.00/12 ounces,66.0,84.0,19.0,Kenya
Costa Rica Central Valley Honey Geisha,94.0,"Barronett, Wisconsin","Alajuela, Central Valley, Costa Rica",Light,$16.00/6 ounces,62.0,80.0,16.0,Rica
Ethiopia Sidama Bombe G1 Washed,94.0,"Barronett, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$19.00/12 ounces,64.0,84.0,19.0,Ethiopia
Kenya AA Aries Return Espresso,96.0,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,NT $950/8 ounces,44.0,60.0,950.0,Kenya
Kenya All’s Well Peaberry Espresso,96.0,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,NT $900/8 ounces,46.0,72.0,900.0,Kenya
Espresso No. 6 Finca San José Ocaña,96.0,"Antigua Guatemala, Guatemala","San Juan Sacatepéquez, Antigua Department, Guatemala",Medium,$25.00/12 ounces,50.0,64.0,25.0,Guatemala
Kahiko Orange,98.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$99.95/8 ounces,54.0,84.0,99.95,
Kenya Washed Kiambu Yara Estate PB TOP,97.0,"Chia-Yi, Taiwan","Ruiru, Kiambu County, south-central Kenya",Medium Light,NT $300/4 ounces,58.0,80.0,300.0,Kenya
Kona Orange,96.0,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,$79.95/8 ounces,58.0,84.0,79.95,
Colombia Wilton Benitez Sudan Rume,96.0,"Fort Wayne, Indiana","Piendamo, Cauca Department, Colombia",Light,$29.00/8 ounces,64.0,84.0,29.0,Colombia
Ethiopia Washed Gute 74110 Lot JH,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $480/8 ounces,60.0,82.0,480.0,Ethiopia
Ethiopia Natural Sidama Bura Karamo 74158,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $480/8 ounces,57.0,88.0,480.0,Ethiopia
Taiwan Honey Alishan Ming Yang Yuan Gesha,95.0,"Chia-Yi, Taiwan","Alishan, Taiwan",Light,"NT $1,110/4 ounces",62.0,84.0,,Taiwan
Kenya Washed Kiambu AB TOP Lot Yerihar,94.0,"Chia-Yi, Taiwan","Kiambu County, south-central Kenya",Medium Light,NT $350/8 ounces,58.0,78.0,350.0,Kenya
Kenya Ibonia Estate,95.0,"Lexington, Virginia","Kiambu County, Kenya",Medium Light,$24.00/12 ounces,58.0,80.0,24.0,Kenya
Ethiopia Worka Sakaro,94.0,"Lexington, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,$27.00/12 ounces,62.0,86.0,27.0,Ethiopia
Guatemala Washed Huehuetenango Joya Verde,94.0,"Chia-Yi, Taiwan","Huehuetenango, Guatemala",Medium Light,NT $260/8 ounces,56.0,74.0,260.0,Guatemala
